"","text","cleaned_text","hashtag","tagged_account"
"1","President and Mrs. Obama built/has a ten foot Wall around their D.C. mansion/compound. I agree totally necessary for their safety and security. The U.S. needs the same thing slightly larger version!","President and Mrs Obama builthas a ten foot Wall around their DC mansioncompound I agree totally necessary for their safety and security The US needs the same thing slightly larger version","",""
"2","Great work by my Administration over the holidays to save Coast Guard pay during this #SchumerShutdown. No thanks to the Democrats who left town and are not concerned about the safety and security of Americans!","Great work by my Administration over the holidays to save Coast Guard pay during this  No thanks to the Democrats who left town and are not concerned about the safety and security of Americans","#SchumerShutdown.",""
"3","Veterans on President Trump’s handling of Border Security - 62% Approval Rating. On being a strong leader - 59%.  AP Poll. Thank you!","Veterans on President Trumps handling of Border Security  62 Approval Rating On being a strong leader  59  AP Poll Thank you","",""
"4","“It turns out to be true now that the Department of Justice and the FBI under President Obama rigged the investigation for Hillary and really turned the screws on Trump and now it looks like in a corrupt &amp; illegal way. The facts are out now. Whole Hoax exposed. @JesseBWatters","It turns out to be true now that the Department of Justice and the FBI under President Obama rigged the investigation for Hillary and really turned the screws on Trump and now it looks like in a corrupt amp illegal way The facts are out now Whole Hoax exposed ","","@JesseBWatters"
"5","“Absolutely nothing” (on Russian Collusion). Kimberley Strassel The Wall Street Journal. The Russian Collusion fabrication is the greatest Hoax in the history of American politics. The only Russian Collusion was with Hillary and the Democrats!","Absolutely nothing on Russian Collusion Kimberley Strassel The Wall Street Journal The Russian Collusion fabrication is the greatest Hoax in the history of American politics The only Russian Collusion was with Hillary and the Democrats","",""
"6","2018 is being called “THE YEAR OF THE WORKER” by Steve Moore co-author of “Trumponomics.” It was indeed a great year for the American Worker with the “best job market in 50 years and the lowest unemployment rate ever for blacks and Hispanics and all workers. Big wage gains.”","2018 is being called THE YEAR OF THE WORKER by Steve Moore coauthor of Trumponomics It was indeed a great year for the American Worker with the best job market in 50 years and the lowest unemployment rate ever for blacks and Hispanics and all workers Big wage gains","",""
"7","For those that naively ask why didn’t the Republicans get approval to build the Wall over the last year it is because IN THE SENATE WE NEED 10 DEMOCRAT VOTES and they will gives us “NONE” for Border Security! Now we have to do it the hard way with a Shutdown. Too bad! @FoxNews","For those that naively ask why didnt the Republicans get approval to build the Wall over the last year it is because IN THE SENATE WE NEED 10 DEMOCRAT VOTES and they will gives us NONE for Border Security Now we have to do it the hard way with a Shutdown Too bad ","","@FoxNews"
"8","...children in question were very sick before they were given over to Border Patrol. The father of the young girl said it was not their fault he hadn’t given her water in days. Border Patrol needs the Wall and it will all end. They are working so hard &amp; getting so little credit!","children in question were very sick before they were given over to Border Patrol The father of the young girl said it was not their fault he hadnt given her water in days Border Patrol needs the Wall and it will all end They are working so hard amp getting so little credit","",""
"9","Any deaths of children or others at the Border are strictly the fault of the Democrats and their pathetic immigration policies that allow people to make the long trek thinking they can enter our country illegally. They can’t. If we had a Wall they wouldn’t even try! The two.....","Any deaths of children or others at the Border are strictly the fault of the Democrats and their pathetic immigration policies that allow people to make the long trek thinking they can enter our country illegally They cant If we had a Wall they wouldnt even try The two","",""
"10","Just had a long and very good call with President Xi of China. Deal is moving along very well. If made it will be very comprehensive covering all subjects areas and points of dispute. Big progress being made!","Just had a long and very good call with President Xi of China Deal is moving along very well If made it will be very comprehensive covering all subjects areas and points of dispute Big progress being made","",""
"11","I am in the White House waiting for the Democrats to come on over and make a deal on Border Security. From what I hear they are spending so much time on Presidential Harassment that they have little time left for things like stopping crime and our military!","I am in the White House waiting for the Democrats to come on over and make a deal on Border Security From what I hear they are spending so much time on Presidential Harassment that they have little time left for things like stopping crime and our military","",""
"12","The Mueller Angry Democrats recently deleted approximately 19000 Text messages between FBI Agent Lisa Page and her lover Agent Peter S. These Texts were asked for and INVALUABLE to the truth of the Witch Hunt Hoax. This is a total Obstruction of Justice. All Texts Demanded!","The Mueller Angry Democrats recently deleted approximately 19000 Text messages between FBI Agent Lisa Page and her lover Agent Peter S These Texts were asked for and INVALUABLE to the truth of the Witch Hunt Hoax This is a total Obstruction of Justice All Texts Demanded","",""
"13","Thank you to Sean Parnell for the nice comments on @foxandfriends about the troops wonderful reaction to Melania and I in Iraq and Germany. Great things are happening!","Thank you to Sean Parnell for the nice comments on  about the troops wonderful reaction to Melania and I in Iraq and Germany Great things are happening","","@foxandfriends"
"14",".....Honduras Guatemala and El Salvador are doing nothing for the United States but taking our money. Word is that a new Caravan is forming in Honduras and they are doing nothing about it. We will be cutting off all aid to these 3 countries - taking advantage of U.S. for years!","Honduras Guatemala and El Salvador are doing nothing for the United States but taking our money Word is that a new Caravan is forming in Honduras and they are doing nothing about it We will be cutting off all aid to these 3 countries  taking advantage of US for years","",""
"15",".....close the Southern Border. Bring our car industry back into the United States where it belongs. Go back to pre-NAFTA before so many of our companies and jobs were so foolishly sent to Mexico. Either we build (finish) the Wall or we close the Border......","close the Southern Border Bring our car industry back into the United States where it belongs Go back to preNAFTA before so many of our companies and jobs were so foolishly sent to Mexico Either we build finish the Wall or we close the Border","",""
"16","....The United States looses soooo much money on Trade with Mexico under NAFTA over 75 Billion Dollars a year (not including Drug Money which would be many times that amount) that I would consider closing the Southern Border a “profit making operation.” We build a Wall or.....","The United States looses soooo much money on Trade with Mexico under NAFTA over 75 Billion Dollars a year not including Drug Money which would be many times that amount that I would consider closing the Southern Border a profit making operation We build a Wall or","",""
